id,session_id,nodes,edges,description,created_at
1,session-89.248.165.100-2021/04/24 01:59:55.706151,"[""cowrie.session.connect"", ""8080"", ""89.248.165.100""]","[{""to"": ""8080"", ""from"": ""cowrie.session.connect""}, {""to"": ""89.248.165.100"", ""from"": ""8080""}]",Session session-89.248.165.100-2021/04/24 01:59:55.706151 from 89.248.165.100 attempted cowrie.session.connect on port 8080.,2025-04-13 20:28:36.728274
30,session-185.186.143.203-2021/04/24 01:59:27.552912,"[""185.186.143.203"", ""cowrie.session.connect"", ""5060""]","[{""to"": ""cowrie.session.connect"", ""from"": ""185.186.143.203""}, {""to"": ""5060"", ""from"": ""cowrie.session.connect""}]",Session session-185.186.143.203-2021/04/24 01:59:27.552912 from 185.186.143.203 attempted cowrie.session.connect on port 5060.,2025-04-13 20:49:43.429206
31,session-173.225.0.45-2021/04/24 01:59:16.362771,"[""cowrie.session.connect"", ""173.225.0.45"", ""25""]","[{""to"": ""173.225.0.45"", ""from"": ""cowrie.session.connect""}, {""to"": ""25"", ""from"": ""173.225.0.45""}]",Session session-173.225.0.45-2021/04/24 01:59:16.362771 from 173.225.0.45 attempted cowrie.session.connect on port 25.,2025-04-13 20:49:47.504574
61,session-216.14.232.11-2021/04/24 01:52:45.061654,"[""cowrie.session.connect"", ""216.14.232.11"", ""25""]","[{""to"": ""216.14.232.11"", ""from"": ""cowrie.session.connect""}, {""to"": ""25"", ""from"": ""216.14.232.11""}]",Session session-216.14.232.11-2021/04/24 01:52:45.061654 from 216.14.232.11 attempted cowrie.session.connect on port 25.,2025-04-13 21:07:50.269558
213,session-216.41.197.5-2021/04/24 01:59:06.879751,"[""216.41.197.5"", ""cowrie.session.connect"", ""Port 25""]","[{""to"": ""cowrie.session.connect"", ""from"": ""216.41.197.5""}, {""to"": ""Port 25"", ""from"": ""cowrie.session.connect""}]",Session session-216.41.197.5-2021/04/24 01:59:06.879751 from 216.41.197.5 attempted cowrie.session.connect on port 25.,2025-04-19 15:20:36.577381
